Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20120616212404,2004,Buick                                                                 ,CENTURY                       ,Silver/Silver                                                         ,4-Door                                                                
20120617102701,1997,Chrysler                                                              ,TOWN AND COUNTRY              ,White/White                                                           ,Van                                                                   
20120617153800,1999,Chevrolet                                                             ,CAMARO                        ,Green/Green                                                           ,2-Door                                                                
20120617213000,1999,Oldsmobile                                                            ,CUTLASS                       ,White/White                                                           ,4-Door                                                                
20120617215500,2006,Hyundai                                                               ,SONATA                        ,Tan/Tan                                                               ,4-Door                                                                
20120617231300,1996,Nissan                                                                ,MAXIMA                        ,White/White                                                           ,4-Door                                                                
20120618003401,1988,General Motors Corp.                                                  ,GMT-400                       ,White/White                                                           ,Pick-up Truck                                                         
20120618041900,2011,Hyundai                                                               ,ELANTRA                       ,Brown/Brown                                                           ,4-Door                                                                
20120618071800,2001,Honda                                                                 ,CIVIC                         ,Silver/                                                               ,4-Door                                                                
20120618083303,1999,Dodge                                                                 ,CARAVAN                       ,White/White                                                           ,Van                                                                   
20120618111002,1994,Isuzu                                                                 ,RODEO                         ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20120618164300,1999,Saturn - Independent                                                  ,SL1                           ,Red/Red                                                               ,4-Door                                                                
20120618220502,    ,Unknown                                                               ,                              ,Pink/Pink                                                             ,Moped                                                                 
20120619003204,1994,Mercury                                                               ,MARQUIS GRAND                 ,White/White                                                           ,4-Door                                                                
20120619071202,    ,Other - pierspeed                                                     ,MOPED                         ,Red/Red                                                               ,Moped                                                                 
20120619071202,    ,Unknown                                                               ,MOPED                         ,Green/White                                                           ,Moped                                                                 
20120619103705,2002,Audi                                                                  ,A4                            ,Blue/Blue                                                             ,4-Door                                                                
20120619114203,1969,Buick                                                                 ,ELECTRA                       ,Blue/Blue                                                             ,4-Door                                                                
20120619133101,1998,Chevrolet                                                             ,BLAZER                        ,Green/Green                                                           ,Sport Utility Vehicle                                                 
20120619143307,2012,Chrysler                                                              ,200,Blue/Blue                                                             ,4-Door                                                                
20120619153000,1994,Buick                                                                 ,LESABRE CUSTOM                ,Copper/Copper                                                         ,4-Door                                                                
20120619205301,1998,Acura                                                                 ,                              ,Blue/Blue                                                             ,4-Door                                                                
20120620003205,2000,Isuzu                                                                 ,                              ,Gray/Gray                                                             ,Sport Utility Vehicle                                                 
20120620053400,2000,Chrysler                                                              ,TOWN&COUNTRY                  ,Silver/Silver                                                         ,Van                                                                   
20120620053402,1996,Buick                                                                 ,CENTURY                       ,White/White                                                           ,4-Door                                                                
20120620083702,2009,Kawasaki                                                              ,KLX250SF                      ,Black/Black                                                           ,Motorcycle                                                            
20120620125201,1997,Nissan                                                                ,MAXIMA                        ,White/White                                                           ,4-Door                                                                
20120620150902,2005,Acura                                                                 ,TSX                           ,Silver/Silver                                                         ,4-Door                                                                
20120620151103,2012,Dodge                                                                 ,CHARGER                       ,Silver/Silver                                                         ,4-Door                                                                
20120620172600,1993,Jeep - 1989 and Newer                                                 ,CHEROKEE                      ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20120621001902,2001,Chevrolet                                                             ,MALIBU                        ,White/White                                                           ,Unknown                                                               
20120621003604,1999,Ford                                                                  ,ESCORT                        ,Black/Black                                                           ,2-Door                                                                
20120621040702,2012,Ford                                                                  ,FOCUS                         ,Red/                                                                  ,2-Door                                                                
20120621072701,2001,Chrysler                                                              ,SEBRING                       ,"Blue, Light/Blue, Light                                               ",4-Door                                                                
20120621082000,2009,Ford                                                                  ,RANGER                        ,White/White                                                           ,Pick-up Truck                                                         
20120621082000,2003,Chevrolet                                                             ,S10                           ,White/White                                                           ,Pick-up Truck                                                         
20120621111307,2011,Chevrolet                                                             ,MALIBU                        ,Blue/Blue                                                             ,4-Door                                                                
20120621122401,2005,Hyundai                                                               ,TUSCON                        ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20120621145000,1997,Dodge                                                                 ,CARAVAN                       ,White/White                                                           ,Van                                                                   
20120621153607,1996,Chevrolet                                                             ,TAHOE                         ,White/White                                                           ,Sport Utility Vehicle                                                 
20120621181304,2000,Harley-Davidson                                                       ,FXSTD                         ,Silver/Silver                                                         ,Motorcycle                                                            
20120621185900,2012,Chrysler                                                              ,300,Brown/Brown                                                           ,4-Door                                                                
20120622001101,2008,Ford                                                                  ,TAURUS X                      ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20120622013201,2004,Chrysler                                                              ,SEBRING LX                    ,Gold/Gold                                                             ,4-Door                                                                
20120622055200,1997,Saturn - G M Div                                                      ,                              ,Black/Black                                                           ,2-Door                                                                
20120622060701,2001,Chrysler                                                              ,PT CRUISER                    ,Blue/                                                                 ,4-Door                                                                
