Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20120622073300,2007,Other - KYMCO                                                         ,PEOPLE 200                    ,Black/Black                                                           ,Moped                                                                 
20120622090003,2008,Other - Zhongnen                                                      ,150T-9                        ,"Blue, Dark/Blue, Dark                                                 ",Other - scooter                                                       
20120622092402,2000,Mitsubishi                                                            ,GALANT                        ,White/White                                                           ,4-Door                                                                
20120622100506,2000,Ford                                                                  ,EXPLORER                      ,Blue/Blue                                                             ,Sport Utility Vehicle                                                 
20120622114202,1989,Nissan                                                                ,SENTRA                        ,Blue/Blue                                                             ,2-Door                                                                
20120622114800,2005,Nissan                                                                ,ALTIMA                        ,Gray/Gray                                                             ,4-Door                                                                
20120622120103,2012,Toyota                                                                ,COROLLA                       ,Tan/Tan                                                               ,4-Door                                                                
20120622120104,1976,Honda                                                                 ,MR175                         ,Red/White                                                             ,Motorcycle                                                            
20120622121401,1994,Chevrolet                                                             ,CAPRICE                       ,Blue/Blue                                                             ,Sport Utility Vehicle                                                 
20120622133701,2009,International Harvester                                               ,                              ,Yellow/Yellow                                                         ,Van                                                                   
20120622141701,1997,Buick                                                                 ,RIVIERA                       ,Blue/Blue                                                             ,2-Door                                                                
20120622141804,2011,Chevrolet                                                             ,MALIBU                        ,Gray/Gray                                                             ,4-Door                                                                
20120622235700,2012,General Motors Corp.                                                  ,YUKON                         ,Gold/Gold                                                             ,Sport Utility Vehicle                                                 
20120623002702,1992,Honda                                                                 ,ACCORD                        ,Green/Green                                                           ,4-Door                                                                
20120623005803,1975,Pontiac                                                               ,CATALINA                      ,Orange/Orange                                                         ,4-Door                                                                
20120623081900,2000,Chevrolet                                                             ,SILVERADO                     ,Burgundy/Burgundy                                                     ,Pick-up Truck                                                         
20120623101100,1995,Honda                                                                 ,CIVIC                         ,Gray/Gray                                                             ,4-Door                                                                
20120623115302,2003,Dodge                                                                 ,STRATUS SE                    ,Blue/Blue                                                             ,4-Door                                                                
20120623115502,    ,Other - CURRAHEE                                                      ,TRAILER                       ,White/White                                                           ,Other - Double axelTrailer                                            
20120623121901,2006,Honda                                                                 ,CIVIC                         ,White/White                                                           ,4-Door                                                                
20120623133600,2002,Dodge                                                                 ,INTREPID                      ,"Blue, Dark/Blue, Dark                                                 ",4-Door                                                                
20120623160900,2007,Chevrolet                                                             ,TRAILBLAZER                   ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20120623171401,2003,Kia Motors                                                            ,SORENTO                       ,White/White                                                           ,Sport Utility Vehicle                                                 
20120624010504,1974,Chevrolet                                                             ,CAPRICE                       ,Purple/Purple                                                         ,4-Door                                                                
20120624012001,2003,Jeep - 1989 and Newer                                                 ,LIBERTY                       ,Red/Red                                                               ,Sport Utility Vehicle                                                 
20120624032500,1993,Ford                                                                  ,CROWN VICTORIA                ,Red/Red                                                               ,4-Door                                                                
20120624075101,1998,Dodge                                                                 ,STRATUS                       ,Green/Green                                                           ,4-Door                                                                
20120624103000,2003,Volvo                                                                 ,XC90                          ,Green/Green                                                           ,4-Door                                                                
20120624150300,1993,Saturn - G M Div                                                      ,                              ,Black/Black                                                           ,2-Door                                                                
20120624215700,1997,Other - STRI                                                          ,TRAILER                       ,White/White                                                           ,Semi-Trailer                                                          
20120624221700,2006,Ford                                                                  ,SUPER DUTY                    ,Gray/Gray                                                             ,Pick-up Truck                                                         
20120624233700,1994,Honda                                                                 ,ACCORD                        ,Blue/Blue                                                             ,4-Door                                                                
20120625025400,2004,Hyundai                                                               ,ELANTRA                       ,Blue/Blue                                                             ,4-Door                                                                
20120625071401,2002,Chevrolet                                                             ,CAVALIER                      ,Gold/Gold                                                             ,4-Door                                                                
20120625084700,2006,Dodge                                                                 ,STRATUS                       ,Green/                                                                ,4-Door                                                                
20120625085905,2002,Dodge                                                                 ,CARAVAN                       ,Beige/Beige                                                           ,Van                                                                   
20120625091702,1990,Yamaha                                                                ,RIVA RAZZ                     ,Black/Black                                                           ,Other - SCOOTER                                                       
20120625092404,2002,Other - Bashan                                                        ,PEACE SPORTS 50               ,Blue/Blue                                                             ,Moped                                                                 
20120625100002,2002,Ford                                                                  ,EXPLORER                      ,White/White                                                           ,4-Door                                                                
20120625100302,2005,Dodge                                                                 ,RAM                           ,Silver/Silver                                                         ,Pick-up Truck                                                         
20120625100700,2011,Other - VELOCITY                                                      ,GY6                           ,Red/Silver                                                            ,Other - SCOOTER                                                       
20120625104804,2007,Mazda                                                                 ,3,Blue/Blue                                                             ,4-Door                                                                
20120625104804,2005,Kawasaki                                                              ,                              ,White/White                                                           ,Motorcycle                                                            
20120625112105,2008,Toyota                                                                ,TUNDRA                        ,Blue/Blue                                                             ,Pick-up Truck                                                         
20120625123904,1994,Honda                                                                 ,ACCORD                        ,"Green, Dark/Green, Dark                                               ",4-Door                                                                
20120625135600,2011,Other - Bashan                                                        ,TPGS-805                      ,Black/Black                                                           ,Moped                                                                 
20120625153602,2012,Toyota                                                                ,CAMRY                         ,Silver/Silver                                                         ,4-Door                                                                
20120625170001,2010,Other - JONWAY                                                        ,                              ,Red/Red                                                               ,Motorcycle                                                            
20120626042600,2009,Other - Jonway                                                        ,WASP                          ,"Blue, Dark/                                                           ",Moped                                                                 
20120626060600,1997,Honda                                                                 ,ACCORD                        ,Tan/Tan                                                               ,4-Door                                                                
20120626065100,2006,Chrysler                                                              ,PT CRUISER                    ,Cream/Cream                                                           ,Station Wagon                                                         
20120626073701,1993,Honda                                                                 ,CIVIC                         ,White/                                                                ,2-Door                                                                
20120626090500,2007,Saturn - Independent                                                  ,                              ,Black/Black                                                           ,4-Door                                                                
20120626091106,1995,Honda                                                                 ,CIVIC                         ,White/White                                                           ,4-Door                                                                
20120626093603,1994,Honda                                                                 ,ACCORD                        ,Green/Green                                                           ,4-Door                                                                
20120626144302,2000,Chevrolet                                                             ,IMPALA                        ,White/White                                                           ,Unknown                                                               
20120626193701,2008,Other - Linhai                                                        ,LH150T-12                     ,Orange/Beige                                                          ,Moped                                                                 
20120627071102,1998,Dodge                                                                 ,CARAVAN                       ,Tan/Tan                                                               ,Van                                                                   
20120627071900,2007,Toyota                                                                ,AVALON                        ,Silver/Silver                                                         ,4-Door                                                                
20120627081805,2002,Dodge                                                                 ,STRATUS                       ,Burgundy/Burgundy                                                     ,2-Door                                                                
20120627094103,1998,Dodge                                                                 ,CARAVAN                       ,White/White                                                           ,Van                                                                   
20120627133603,2000,Dodge                                                                 ,CARAVAN                       ,Silver/Silver                                                         ,Van                                                                   
20120627141701,    ,Unknown                                                               ,                              ,Pink/Pink                                                             ,Recreational Vehicle                                                  
20120627164102,1998,Nissan                                                                ,ALTIMA                        ,White/White                                                           ,4-Door                                                                
20120627183501,2012,Chevrolet                                                             ,IMPALA                        ,Black/Black                                                           ,4-Door                                                                
20120628032702,    ,Tomas                                                                 ,MOPED                         ,Gray/Gray                                                             ,Moped                                                                 
20120628064302,2006,Dodge                                                                 ,CARAVAN                       ,Gold/Gold                                                             ,Van                                                                   
20120628081302,1995,Buick                                                                 ,CENTURY                       ,Blue/Blue                                                             ,4-Door                                                                
20120628082603,2001,Ford                                                                  ,VAN                           ,White/White                                                           ,Van                                                                   
20120628083800,2009,Yamaha                                                                ,YW50YL                        ,Blue/Blue                                                             ,Other - SCOOTER 50CC                                                  
20120628084400,2004,Suzuki                                                                ,GXSR 600                      ,Black/Black                                                           ,Motorcycle                                                            
20120628100402,1997,Dodge                                                                 ,CARAVAN                       ,Purple/Purple                                                         ,Van                                                                   
20120628113504,2008,Saturn - Independent                                                  ,VUE                           ,White/White                                                           ,Sport Utility Vehicle                                                 
20120628120900,2000,Nissan                                                                ,SENTRA                        ,Gray/Gray                                                             ,4-Door                                                                
20120628152701,1997,Cadillac                                                              ,STS                           ,Black/Black                                                           ,4-Door                                                                
20120628183404,2000,Pontiac                                                               ,GRAND PRIX                    ,Burgundy/Burgundy                                                     ,4-Door                                                                
20120629051601,1987,Oldsmobile                                                            ,DELTA 88                      ,Burgundy/Burgundy                                                     ,4-Door                                                                
20120629085800,1999,Buick                                                                 ,LESABRE                       ,Gold/Gold                                                             ,4-Door                                                                
20120629155205,2008,Ford                                                                  ,EXPEDITION                    ,White/White                                                           ,Sport Utility Vehicle                                                 
20120629161802,2005,BMW                                                                   ,Z4                            ,Silver/Silver                                                         ,2-Door                                                                
20120630070600,2001,Toyota                                                                ,TACOMA                        ,Gray/                                                                 ,Pick-up Truck                                                         
20120630072900,1996,Buick                                                                 ,CENTURY                       ,Gray/Gray                                                             ,4-Door                                                                
20120630080303,2001,Oldsmobile                                                            ,AURORA                        ,Silver/Silver                                                         ,4-Door                                                                
20120630080402,1985,Oldsmobile                                                            ,CUTLASS                       ,Brown/Brown                                                           ,2-Door                                                                
20120630084703,2001,Dodge                                                                 ,CARAVAN                       ,Burgundy/Burgundy                                                     ,Other - Mini-Van                                                      
20120630101800,2000,General Motors Corp.                                                  ,TRUCK                         ,Blue/Blue                                                             ,Pick-up Truck                                                         
20120630110800,2004,Acura                                                                 ,INTEGRA                       ,Gray/Gray                                                             ,4-Door                                                                
20120630124600,1985,Mercury                                                               ,MARQUIS                       ,Brown/Brown                                                           ,Station Wagon                                                         
20120630161102,2011,Chevrolet                                                             ,MALIBU                        ,Blue/Blue                                                             ,4-Door                                                                
20120630161600,2003,Chevrolet                                                             ,SILVERADO                     ,Red/Red                                                               ,Pick-up Truck                                                         
20120630164902,1995,Lincoln                                                               ,TOWN CAR                      ,Black/Gray                                                            ,4-Door                                                                
20120701004402,2007,Dodge                                                                 ,RAM 3500 MEGA CAB 4D          ,Silver/Silver                                                         ,Pick-up Truck                                                         
20120701093700,2008,Mazda                                                                 ,DA6                           ,Burgundy/Burgundy                                                     ,4-Door                                                                
20120701123401,1999,Plymouth                                                              ,                              ,Green/Unknown                                                         ,Van                                                                   
20120701144304,1981,Ford                                                                  ,THUNDERBIRD                   ,Blue/Blue                                                             ,4-Door                                                                
20120701182803,2008,Jeep - 1989 and Newer                                                 ,PATRIOT                       ,Red/Red                                                               ,Sport Utility Vehicle                                                 
20120701184400,1995,Toyota                                                                ,CAMRY                         ,Burgundy/Burgundy                                                     ,2-Door                                                                
20120702000400,1904,Honda                                                                 ,ACCORD EX                     ,"Blue, Light/Blue, Light                                               ",4-Door                                                                
20120702065700,2000,Honda                                                                 ,ACCORD                        ,White/                                                                ,4-Door                                                                
20120702074901,2010,Other - Peace Sports                                                  ,PEACE SPORTS 805              ,Red/Black                                                             ,Other - Scooter                                                       
20120702104700,1994,Honda                                                                 ,PRELUDE SI                    ,Unknown/Unknown                                                       ,2-Door                                                                
20120702121702,2012,Volkswagen                                                            ,JETTA                         ,Brown/Brown                                                           ,4-Door                                                                
20120702173401,2007,Suzuki                                                                ,GSX-R750K                     ,Black/Black                                                           ,Motorcycle                                                            
20120702175601,2010,Chrysler                                                              ,TOWN AND COUNTRY              ,White/White                                                           ,Van                                                                   
20120702181002,2009,Other - BASHAN                                                        ,                              ,Blue/Blue                                                             ,Moped                                                                 
20120702211203,1996,Jeep - 1989 and Newer                                                 ,CHEROKEE                      ,"Blue, Dark/Blue, Dark                                                 ",Sport Utility Vehicle                                                 
20120702211603,2007,Chevrolet                                                             ,COBALT                        ,White/White                                                           ,4-Door                                                                
20120702212900,1999,Ford                                                                  ,ECONOLINE WAGO                ,White/White                                                           ,Van                                                                   
20120702234701,2002,Mitsubishi                                                            ,GALLANT ES/LS 4D              ,Black/Black                                                           ,4-Door                                                                
20120703000704,2006,Other - PIAGGIO                                                       ,FLY                           ,Red/Gray                                                              ,Moped                                                                 
20120703031201,1993,Jeep - 1989 and Newer                                                 ,CHEROKEE                      ,Red/Red                                                               ,Sport Utility Vehicle                                                 
20120703060600,2006,Yamaha                                                                ,YZFR1                         ,Gray/Gray                                                             ,Motorcycle                                                            
20120703075700,1999,Honda                                                                 ,ACCORD                        ,"Blue, Dark/Blue, Dark                                                 ",2-Door                                                                
20120703121805,2012,Chevrolet                                                             ,MALIBU                        ,Gray/Gray                                                             ,4-Door                                                                
20120703131605,1996,Toyota                                                                ,AVALON                        ,Gold/Gold                                                             ,4-Door                                                                
20120703133504,1998,Other - trailmobile                                                   ,TRAILER                       ,White/White                                                           ,Other - trailer                                                       
20120703135200,2001,Ford                                                                  ,ECONOLINE                     ,White/White                                                           ,Van                                                                   
20120703151400,2005,Chrysler                                                              ,TOWN & COUNTRY                ,Blue/Blue                                                             ,Van                                                                   
20120703170401,2012,Chevrolet                                                             ,MALIBU                        ,White/White                                                           ,4-Door                                                                
20120703180905,2002,Toyota                                                                ,COROLLA                       ,White/White                                                           ,4-Door                                                                
20120703181201,2008,Buick                                                                 ,LASABRE                       ,Gray/Gray                                                             ,4-Door                                                                
20120703182400,1996,Buick                                                                 ,CENTURY                       ,Blue/Blue                                                             ,4-Door                                                                
20120703200002,1998,Chevrolet                                                             ,TRACKER                       ,Red/Red                                                               ,2-Door                                                                
20120703230600,2010,Honda                                                                 ,ODYSSEY                       ,Silver/Silver                                                         ,Van                                                                   
20120704015504,2006,Ford                                                                  ,F-150                         ,Black/Black                                                           ,Pick-up Truck                                                         
