Complaint_No,Weapon_Type
20150310142800,"Personal Weapons (hands,feet,teeth,etc.)"
20150310164702,"Personal Weapons (hands,feet,teeth,etc.)"
20150310164902,Not Applicable/None                     
20150310165203,"Personal Weapons (hands,feet,teeth,etc.)"
20150310171400,"Personal Weapons (hands,feet,teeth,etc.)"
20150310172304,Handgun                                 
20150310180803,"Personal Weapons (hands,feet,teeth,etc.)"
20150310184401,Knife                                   
20150310200300,"Personal Weapons (hands,feet,teeth,etc.)"
20150310205302,"Personal Weapons (hands,feet,teeth,etc.)"
20150310205705,Handgun                                 
20150310211406,"Blunt Object(club,hammer,etc)           "
20150310211900,"Personal Weapons (hands,feet,teeth,etc.)"
20150310213702,"Personal Weapons (hands,feet,teeth,etc.)"
20150310214702,Handgun                                 
20150311002103,"Personal Weapons (hands,feet,teeth,etc.)"
20150311022600,"Personal Weapons (hands,feet,teeth,etc.)"
20150311030300,"Personal Weapons (hands,feet,teeth,etc.)"
20150311032400,"Personal Weapons (hands,feet,teeth,etc.)"
20150311041402,"Personal Weapons (hands,feet,teeth,etc.)"
20150311052101,"Personal Weapons (hands,feet,teeth,etc.)"
20150311060400,Handgun                                 
20150311095809,Not Applicable/None                     
20150311105800,"Personal Weapons (hands,feet,teeth,etc.)"
20150311121602,"Personal Weapons (hands,feet,teeth,etc.)"
20150311130304,Handgun                                 
20150311131001,"Personal Weapons (hands,feet,teeth,etc.)"
20150311131501,"Personal Weapons (hands,feet,teeth,etc.)"
20150311132903,"Personal Weapons (hands,feet,teeth,etc.)"
20150311133406,"Personal Weapons (hands,feet,teeth,etc.)"
20150311145702,"Personal Weapons (hands,feet,teeth,etc.)"
20150311152003,Handgun                                 
20150311154401,"Personal Weapons (hands,feet,teeth,etc.)"
20150311154703,"Personal Weapons (hands,feet,teeth,etc.)"
20150311155806,"Personal Weapons (hands,feet,teeth,etc.)"
20150311161206,"Personal Weapons (hands,feet,teeth,etc.)"
20150311162501,Not Applicable/None                     
20150311162702,"Personal Weapons (hands,feet,teeth,etc.)"
20150311171902,"Personal Weapons (hands,feet,teeth,etc.)"
20150311172600,"Personal Weapons (hands,feet,teeth,etc.)"
20150311192602,"Personal Weapons (hands,feet,teeth,etc.)"
20150311193601,Handgun                                 
20150311204203,"Personal Weapons (hands,feet,teeth,etc.)"
20150311210704,Handgun                                 
20150311213200,"Personal Weapons (hands,feet,teeth,etc.)"
20150311213200,"Blunt Object(club,hammer,etc)           "
20150311215400,Not Applicable/None                     
20150311221004,"Personal Weapons (hands,feet,teeth,etc.)"
20150311223508,"Personal Weapons (hands,feet,teeth,etc.)"
20150311231100,Handgun                                 
20150312000703,Handgun                                 
20150312004700,Undetermined Firearm                    
20150312014901,"Personal Weapons (hands,feet,teeth,etc.)"
20150312031200,Handgun                                 
20150312070103,Other Weapon                            
20150312074702,"Personal Weapons (hands,feet,teeth,etc.)"
20150312081002,"Personal Weapons (hands,feet,teeth,etc.)"
20150312085302,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20150312085305,"Personal Weapons (hands,feet,teeth,etc.)"
20150312093506,Handgun                                 
20150312095901,"Personal Weapons (hands,feet,teeth,etc.)"
20150312100607,"Personal Weapons (hands,feet,teeth,etc.)"
20150312102400,Not Applicable/None                     
20150312111602,"Personal Weapons (hands,feet,teeth,etc.)"
20150312114301,Knife                                   
20150312121002,"Blunt Object(club,hammer,etc)           "
20150312124002,Knife                                   
20150312124005,"Personal Weapons (hands,feet,teeth,etc.)"
20150312124103,"Personal Weapons (hands,feet,teeth,etc.)"
20150312133502,"Personal Weapons (hands,feet,teeth,etc.)"
20150312134202,"Personal Weapons (hands,feet,teeth,etc.)"
20150312135508,"Personal Weapons (hands,feet,teeth,etc.)"
20150312140100,"Personal Weapons (hands,feet,teeth,etc.)"
20150312140403,"Personal Weapons (hands,feet,teeth,etc.)"
20150312141000,Other Weapon                            
20150312145204,"Personal Weapons (hands,feet,teeth,etc.)"
20150312145901,"Personal Weapons (hands,feet,teeth,etc.)"
20150312151100,"Personal Weapons (hands,feet,teeth,etc.)"
20150312160903,"Personal Weapons (hands,feet,teeth,etc.)"
20150312162606,"Personal Weapons (hands,feet,teeth,etc.)"
20150312162703,"Personal Weapons (hands,feet,teeth,etc.)"
20150312165403,Handgun                                 
20150312165403,"Personal Weapons (hands,feet,teeth,etc.)"
20150312165704,"Personal Weapons (hands,feet,teeth,etc.)"
20150312170301,Other Weapon                            
20150312173800,Handgun                                 
20150312173800,"Personal Weapons (hands,feet,teeth,etc.)"
20150312175004,Not Applicable/None                     
20150312190702,"Personal Weapons (hands,feet,teeth,etc.)"
20150312194300,Knife                                   
20150312204902,"Personal Weapons (hands,feet,teeth,etc.)"
20150312211200,"Personal Weapons (hands,feet,teeth,etc.)"
20150312212105,"Personal Weapons (hands,feet,teeth,etc.)"
20150312221901,Handgun                                 
20150312223005,Knife                                   
20150312223302,"Personal Weapons (hands,feet,teeth,etc.)"
20150313014200,Handgun                                 
20150313042800,Knife                                   
20150313085601,"Personal Weapons (hands,feet,teeth,etc.)"
20150313091901,Knife                                   
20150313095604,"Personal Weapons (hands,feet,teeth,etc.)"
20150313100902,Not Applicable/None                     
20150313112101,"Personal Weapons (hands,feet,teeth,etc.)"
20150313115300,Handgun                                 
20150313123602,"Personal Weapons (hands,feet,teeth,etc.)"
20150313124304,Unknown/Not Stated                      
20150313131502,Knife                                   
20150313132501,"Personal Weapons (hands,feet,teeth,etc.)"
20150313141400,Not Applicable/None                     
20150313144602,"Personal Weapons (hands,feet,teeth,etc.)"
20150313150901,Knife                                   
20150313160300,Handgun                                 
20150313164500,"Blunt Object(club,hammer,etc)           "
20150313191702,"Personal Weapons (hands,feet,teeth,etc.)"
20150313194002,Knife                                   
20150313205201,"Personal Weapons (hands,feet,teeth,etc.)"
20150313223200,"Personal Weapons (hands,feet,teeth,etc.)"
20150313223700,"Personal Weapons (hands,feet,teeth,etc.)"
20150313224400,Not Applicable/None                     
20150313224905,"Personal Weapons (hands,feet,teeth,etc.)"
20150313230902,Handgun                                 
20150313231900,"Personal Weapons (hands,feet,teeth,etc.)"
20150313234902,"Personal Weapons (hands,feet,teeth,etc.)"
20150314004601,"Personal Weapons (hands,feet,teeth,etc.)"
20150314004801,Not Applicable/None                     
20150314004801,Unknown/Not Stated                      
20150314012503,Handgun                                 
20150314015305,"Personal Weapons (hands,feet,teeth,etc.)"
20150314021404,Chemicals/Acids                         
20150314021404,"Blunt Object(club,hammer,etc)           "
20150314022102,"Personal Weapons (hands,feet,teeth,etc.)"
20150314022504,Handgun                                 
20150314024401,"Personal Weapons (hands,feet,teeth,etc.)"
20150314024401,Knife                                   
20150314025102,Handgun                                 
20150314030300,Handgun                                 
20150314043202,"Personal Weapons (hands,feet,teeth,etc.)"
20150314065004,Not Applicable/None                     
20150314085000,"Personal Weapons (hands,feet,teeth,etc.)"
20150314090101,"Personal Weapons (hands,feet,teeth,etc.)"
20150314110202,"Personal Weapons (hands,feet,teeth,etc.)"
20150314125401,Not Applicable/None                     
20150314135100,"Personal Weapons (hands,feet,teeth,etc.)"
20150314135701,Other Weapon                            
20150314135701,"Personal Weapons (hands,feet,teeth,etc.)"
20150314141100,Knife                                   
20150314141400,"Personal Weapons (hands,feet,teeth,etc.)"
20150314144301,"Personal Weapons (hands,feet,teeth,etc.)"
20150314144402,"Personal Weapons (hands,feet,teeth,etc.)"
20150314150904,"Personal Weapons (hands,feet,teeth,etc.)"
20150314155202,Not Applicable/None                     
20150314155502,Not Applicable/None                     
20150314162200,"Personal Weapons (hands,feet,teeth,etc.)"
20150314171504,"Personal Weapons (hands,feet,teeth,etc.)"
20150314172002,"Personal Weapons (hands,feet,teeth,etc.)"
20150314172403,"Personal Weapons (hands,feet,teeth,etc.)"
20150314172802,"Personal Weapons (hands,feet,teeth,etc.)"
20150314174603,"Personal Weapons (hands,feet,teeth,etc.)"
20150314174603,Handgun                                 
20150314180504,"Personal Weapons (hands,feet,teeth,etc.)"
20150314182000,Knife                                   
20150314183403,"Personal Weapons (hands,feet,teeth,etc.)"
20150314191600,"Personal Weapons (hands,feet,teeth,etc.)"
20150314193303,"Personal Weapons (hands,feet,teeth,etc.)"
20150314202103,"Personal Weapons (hands,feet,teeth,etc.)"
20150314202902,"Personal Weapons (hands,feet,teeth,etc.)"
20150314203300,"Personal Weapons (hands,feet,teeth,etc.)"
20150314203500,"Personal Weapons (hands,feet,teeth,etc.)"
20150314221504,"Personal Weapons (hands,feet,teeth,etc.)"
20150314221801,"Personal Weapons (hands,feet,teeth,etc.)"
20150314223404,"Personal Weapons (hands,feet,teeth,etc.)"
20150314230501,"Personal Weapons (hands,feet,teeth,etc.)"
20150314231101,"Personal Weapons (hands,feet,teeth,etc.)"
20150314234103,"Personal Weapons (hands,feet,teeth,etc.)"
20150314235901,"Personal Weapons (hands,feet,teeth,etc.)"
20150315000400,"Personal Weapons (hands,feet,teeth,etc.)"
20150315001805,Handgun                                 
20150315003401,Handgun                                 
20150315004402,"Personal Weapons (hands,feet,teeth,etc.)"
20150315005001,"Personal Weapons (hands,feet,teeth,etc.)"
20150315011205,"Personal Weapons (hands,feet,teeth,etc.)"
20150315014500,"Personal Weapons (hands,feet,teeth,etc.)"
20150315025604,Not Applicable/None                     
20150315030100,"Personal Weapons (hands,feet,teeth,etc.)"
20150315031305,"Personal Weapons (hands,feet,teeth,etc.)"
20150315060400,"Personal Weapons (hands,feet,teeth,etc.)"
20150315065701,"Personal Weapons (hands,feet,teeth,etc.)"
20150315081301,Razor                                   
20150315084901,Not Applicable/None                     
20150315084901,"Personal Weapons (hands,feet,teeth,etc.)"
20150315093302,"Personal Weapons (hands,feet,teeth,etc.)"
20150315095205,"Personal Weapons (hands,feet,teeth,etc.)"
20150315100600,"Personal Weapons (hands,feet,teeth,etc.)"
20150315110404,"Personal Weapons (hands,feet,teeth,etc.)"
20150315122001,Not Applicable/None                     
20150315122001,"Personal Weapons (hands,feet,teeth,etc.)"
20150315132403,"Personal Weapons (hands,feet,teeth,etc.)"
20150315135801,"Personal Weapons (hands,feet,teeth,etc.)"
20150315135801,Other Weapon                            
20150315150505,"Personal Weapons (hands,feet,teeth,etc.)"
20150315162300,"Personal Weapons (hands,feet,teeth,etc.)"
20150315162501,Handgun                                 
20150315162501,"Personal Weapons (hands,feet,teeth,etc.)"
20150315163904,"Personal Weapons (hands,feet,teeth,etc.)"
20150315170201,Knife                                   
20150315173002,"Personal Weapons (hands,feet,teeth,etc.)"
20150315184301,Not Applicable/None                     
20150315185100,Vehicle                                 
20150315194702,"Personal Weapons (hands,feet,teeth,etc.)"
20150315201602,"Personal Weapons (hands,feet,teeth,etc.)"
20150315211305,"Blunt Object(club,hammer,etc)           "
20150315222103,Not Applicable/None                     
20150315234700,Handgun                                 
20150315235400,"Personal Weapons (hands,feet,teeth,etc.)"
20150316001400,"Personal Weapons (hands,feet,teeth,etc.)"
20150316042604,"Personal Weapons (hands,feet,teeth,etc.)"
20150316065103,"Personal Weapons (hands,feet,teeth,etc.)"
20150316071602,Handgun                                 
20150316085603,Other Chemical/Drugs                    
20150316092502,"Personal Weapons (hands,feet,teeth,etc.)"
20150316093901,"Personal Weapons (hands,feet,teeth,etc.)"
20150316101201,Not Applicable/None                     
20150316103108,Handgun                                 
20150316103903,"Personal Weapons (hands,feet,teeth,etc.)"
20150316110300,Handgun                                 
20150316114300,"Personal Weapons (hands,feet,teeth,etc.)"
20150316123402,"Personal Weapons (hands,feet,teeth,etc.)"
20150316124602,"Personal Weapons (hands,feet,teeth,etc.)"
20150316130503,"Personal Weapons (hands,feet,teeth,etc.)"
20150316132300,"Personal Weapons (hands,feet,teeth,etc.)"
20150316132600,"Personal Weapons (hands,feet,teeth,etc.)"
20150316135101,"Personal Weapons (hands,feet,teeth,etc.)"
20150316144704,Handgun                                 
20150316144805,Ax/Hatchet                              
20150316144805,"Personal Weapons (hands,feet,teeth,etc.)"
20150316145004,"Personal Weapons (hands,feet,teeth,etc.)"
20150316145400,"Personal Weapons (hands,feet,teeth,etc.)"
20150316145500,Not Applicable/None                     
20150316153000,Shotgun                                 
20150316155605,"Personal Weapons (hands,feet,teeth,etc.)"
20150316163505,"Personal Weapons (hands,feet,teeth,etc.)"
20150316165100,Handgun                                 
20150316175000,"Personal Weapons (hands,feet,teeth,etc.)"
20150316181000,"Personal Weapons (hands,feet,teeth,etc.)"
20150316183102,"Blunt Object(club,hammer,etc)           "
20150316185202,"Blunt Object(club,hammer,etc)           "
20150316192001,Handgun                                 
20150316193304,Handgun                                 
20150316203100,"Personal Weapons (hands,feet,teeth,etc.)"
20150316203405,"Personal Weapons (hands,feet,teeth,etc.)"
20150316211105,"Personal Weapons (hands,feet,teeth,etc.)"
20150316212400,Not Applicable/None                     
20150316215001,Handgun                                 
20150316215602,Handgun                                 
20150316220403,"Personal Weapons (hands,feet,teeth,etc.)"
20150316220703,"Blunt Object(club,hammer,etc)           "
20150316220900,"Personal Weapons (hands,feet,teeth,etc.)"
20150316220900,Pliers/Wrench                           
20150316222201,"Personal Weapons (hands,feet,teeth,etc.)"
20150316222202,Vehicle                                 
20150316223400,"Personal Weapons (hands,feet,teeth,etc.)"
20150316225001,Rifle                                   
20150316230802,Handgun                                 
20150316233901,"Blunt Object(club,hammer,etc)           "
20150317004600,"Personal Weapons (hands,feet,teeth,etc.)"
20150317010600,"Personal Weapons (hands,feet,teeth,etc.)"
20150317011200,Undetermined Firearm                    
20150317025201,"Personal Weapons (hands,feet,teeth,etc.)"
20150317031201,"Personal Weapons (hands,feet,teeth,etc.)"
20150317053400,Handgun                                 
20150317072502,"Personal Weapons (hands,feet,teeth,etc.)"
20150317074904,Handgun                                 
20150317080100,Knife                                   
20150317081903,"Personal Weapons (hands,feet,teeth,etc.)"
20150317092200,Not Applicable/None                     
20150317092200,"Personal Weapons (hands,feet,teeth,etc.)"
20150317093800,"Personal Weapons (hands,feet,teeth,etc.)"
20150317094100,"Personal Weapons (hands,feet,teeth,etc.)"
20150317100001,Handgun                                 
20150317102004,Knife                                   
20150317104801,Not Applicable/None                     
20150317105702,Knife                                   
20150317111602,Knife                                   
20150317113004,Knife                                   
20150317114901,"Personal Weapons (hands,feet,teeth,etc.)"
20150317124002,"Personal Weapons (hands,feet,teeth,etc.)"
20150317124804,"Personal Weapons (hands,feet,teeth,etc.)"
20150317125303,"Personal Weapons (hands,feet,teeth,etc.)"
20150317125303,Unknown/Not Stated                      
20150317125401,Handgun                                 
20150317130800,"Personal Weapons (hands,feet,teeth,etc.)"
20150317131403,"Personal Weapons (hands,feet,teeth,etc.)"
20150317131903,"Personal Weapons (hands,feet,teeth,etc.)"
20150317141306,"Personal Weapons (hands,feet,teeth,etc.)"
20150317145400,"Personal Weapons (hands,feet,teeth,etc.)"
20150317150803,"Personal Weapons (hands,feet,teeth,etc.)"
20150317152806,"Personal Weapons (hands,feet,teeth,etc.)"
20150317160102,"Personal Weapons (hands,feet,teeth,etc.)"
20150317163704,"Personal Weapons (hands,feet,teeth,etc.)"
20150317165401,"Personal Weapons (hands,feet,teeth,etc.)"
20150317172301,Razor                                   
20150317175300,"Personal Weapons (hands,feet,teeth,etc.)"
20150317180300,"Personal Weapons (hands,feet,teeth,etc.)"
20150317184301,Other Weapon                            
20150317190102,Handgun                                 
20150317191404,"Personal Weapons (hands,feet,teeth,etc.)"
20150317192502,"Personal Weapons (hands,feet,teeth,etc.)"
20150317194401,"Personal Weapons (hands,feet,teeth,etc.)"
20150317200403,"Personal Weapons (hands,feet,teeth,etc.)"
20150317201600,"Personal Weapons (hands,feet,teeth,etc.)"
20150317201805,Not Applicable/None                     
20150317202500,"Personal Weapons (hands,feet,teeth,etc.)"
20150317220705,Handgun                                 
20150317222001,"Personal Weapons (hands,feet,teeth,etc.)"
20150317230000,Handgun                                 
20150317231300,Handgun                                 
20150317232702,Handgun                                 
20150317234501,Handgun                                 
20150317235000,Not Applicable/None                     
20150317235101,"Personal Weapons (hands,feet,teeth,etc.)"
20150318001200,Handgun                                 
20150318002006,Vehicle                                 
20150318010200,"Personal Weapons (hands,feet,teeth,etc.)"
20150318023401,"Personal Weapons (hands,feet,teeth,etc.)"
20150318053200,Handgun                                 
20150318063402,"Personal Weapons (hands,feet,teeth,etc.)"
20150318063402,Vehicle                                 
20150318083804,Unknown/Not Stated                      
20150318092801,"Personal Weapons (hands,feet,teeth,etc.)"
20150318101302,Unknown/Not Stated                      
20150318101703,"Personal Weapons (hands,feet,teeth,etc.)"
20150318111201,"Personal Weapons (hands,feet,teeth,etc.)"
20150318112400,"Personal Weapons (hands,feet,teeth,etc.)"
20150318115201,Unknown/Not Stated                      
20150318123506,Razor                                   
20150318124901,"Personal Weapons (hands,feet,teeth,etc.)"
20150318132904,"Personal Weapons (hands,feet,teeth,etc.)"
20150318133705,"Personal Weapons (hands,feet,teeth,etc.)"
20150318142402,"Personal Weapons (hands,feet,teeth,etc.)"
20150318151802,Handgun                                 
20150318153901,Knife                                   
20150318155902,Other Weapon                            
20150318155902,"Personal Weapons (hands,feet,teeth,etc.)"
20150318155903,Handgun                                 
20150318160807,"Personal Weapons (hands,feet,teeth,etc.)"
20150318162901,Handgun                                 
20150318164604,Other Weapon                            
20150318170406,"Personal Weapons (hands,feet,teeth,etc.)"
20150318172101,"Personal Weapons (hands,feet,teeth,etc.)"
20150318172602,"Personal Weapons (hands,feet,teeth,etc.)"
20150318182501,"Personal Weapons (hands,feet,teeth,etc.)"
20150318191703,Not Applicable/None                     
20150318204801,"Personal Weapons (hands,feet,teeth,etc.)"
20150318212701,Razor                                   
20150318213004,"Personal Weapons (hands,feet,teeth,etc.)"
20150318214201,Not Applicable/None                     
20150318215105,"Personal Weapons (hands,feet,teeth,etc.)"
20150318221506,Handgun                                 
20150318223403,Other Weapon                            
20150318233603,"Personal Weapons (hands,feet,teeth,etc.)"
20150318233900,"Personal Weapons (hands,feet,teeth,etc.)"
20150319002100,"Personal Weapons (hands,feet,teeth,etc.)"
20150319010203,Handgun                                 
20150319013900,"Personal Weapons (hands,feet,teeth,etc.)"
20150319023100,Not Applicable/None                     
20150319034102,Handgun                                 
20150319043601,Not Applicable/None                     
20150319075202,"Personal Weapons (hands,feet,teeth,etc.)"
20150319084903,Handgun                                 
20150319104703,"Personal Weapons (hands,feet,teeth,etc.)"
20150319112005,"Personal Weapons (hands,feet,teeth,etc.)"
20150319115700,"Personal Weapons (hands,feet,teeth,etc.)"
20150319120101,"Personal Weapons (hands,feet,teeth,etc.)"
20150319121802,Other Weapon                            
20150319124000,"Personal Weapons (hands,feet,teeth,etc.)"
20150319140801,Handgun                                 
20150319141000,Knife                                   
20150319141201,"Personal Weapons (hands,feet,teeth,etc.)"
20150319144700,"Personal Weapons (hands,feet,teeth,etc.)"
20150319152204,"Personal Weapons (hands,feet,teeth,etc.)"
20150319155109,Other Weapon                            
20150319155401,"Personal Weapons (hands,feet,teeth,etc.)"
20150319163303,"Personal Weapons (hands,feet,teeth,etc.)"
20150319171801,"Personal Weapons (hands,feet,teeth,etc.)"
20150319184004,"Personal Weapons (hands,feet,teeth,etc.)"
20150319190701,Not Applicable/None                     
20150319191400,Handgun                                 
20150319195901,"Personal Weapons (hands,feet,teeth,etc.)"
20150319200201,Handgun                                 
20150319210900,"Personal Weapons (hands,feet,teeth,etc.)"
20150319222102,"Personal Weapons (hands,feet,teeth,etc.)"
20150319232001,"Personal Weapons (hands,feet,teeth,etc.)"
20150320000200,Knife                                   
20150320010301,Undetermined Firearm                    
20150320022802,Handgun                                 
20150320053800,"Personal Weapons (hands,feet,teeth,etc.)"
20150320064203,"Personal Weapons (hands,feet,teeth,etc.)"
20150320072102,"Personal Weapons (hands,feet,teeth,etc.)"
20150320080506,Not Applicable/None                     
20150320081501,"Personal Weapons (hands,feet,teeth,etc.)"
20150320091403,"Personal Weapons (hands,feet,teeth,etc.)"
20150320092000,"Personal Weapons (hands,feet,teeth,etc.)"
20150320094104,"Personal Weapons (hands,feet,teeth,etc.)"
20150320094702,"Personal Weapons (hands,feet,teeth,etc.)"
20150320101705,"Personal Weapons (hands,feet,teeth,etc.)"
20150320102703,"Personal Weapons (hands,feet,teeth,etc.)"
20150320111903,"Personal Weapons (hands,feet,teeth,etc.)"
20150320120305,"Personal Weapons (hands,feet,teeth,etc.)"
20150320121201,Other Chemical/Drugs                    
20150320121600,"Personal Weapons (hands,feet,teeth,etc.)"
20150320130903,Handgun                                 
20150320162104,"Personal Weapons (hands,feet,teeth,etc.)"
20150320162500,"Personal Weapons (hands,feet,teeth,etc.)"
20150320175503,Not Applicable/None                     
20150320180201,"Personal Weapons (hands,feet,teeth,etc.)"
20150320184801,Handgun                                 
20150320190505,"Personal Weapons (hands,feet,teeth,etc.)"
20150320201804,"Personal Weapons (hands,feet,teeth,etc.)"
20150320202100,"Personal Weapons (hands,feet,teeth,etc.)"
20150320202701,"Blunt Object(club,hammer,etc)           "
20150320202701,Other Cutting Instrument                
20150320203105,"Personal Weapons (hands,feet,teeth,etc.)"
20150320203300,"Personal Weapons (hands,feet,teeth,etc.)"
20150320205201,"Personal Weapons (hands,feet,teeth,etc.)"
20150320212901,"Personal Weapons (hands,feet,teeth,etc.)"
20150320214400,"Personal Weapons (hands,feet,teeth,etc.)"
20150320214803,"Personal Weapons (hands,feet,teeth,etc.)"
20150320214803,Knife                                   
20150320220500,Handgun                                 
20150320221502,"Personal Weapons (hands,feet,teeth,etc.)"
20150320221904,"Personal Weapons (hands,feet,teeth,etc.)"
20150320224800,"Blunt Object(club,hammer,etc)           "
20150320225400,"Personal Weapons (hands,feet,teeth,etc.)"
20150321010600,"Personal Weapons (hands,feet,teeth,etc.)"
20150321011204,"Personal Weapons (hands,feet,teeth,etc.)"
20150321012501,"Personal Weapons (hands,feet,teeth,etc.)"
20150321014401,Handgun                                 
20150321021102,Handgun                                 
20150321021102,Undetermined Firearm                    
20150321023802,"Personal Weapons (hands,feet,teeth,etc.)"
20150321053401,"Personal Weapons (hands,feet,teeth,etc.)"
20150321055200,"Personal Weapons (hands,feet,teeth,etc.)"
20150321055200,Handgun                                 
20150321080901,"Personal Weapons (hands,feet,teeth,etc.)"
20150321102602,"Personal Weapons (hands,feet,teeth,etc.)"
20150321102805,Handgun                                 
20150321103201,"Personal Weapons (hands,feet,teeth,etc.)"
20150321111401,"Personal Weapons (hands,feet,teeth,etc.)"
20150321114600,Handgun                                 
20150321115902,"Personal Weapons (hands,feet,teeth,etc.)"
20150321122200,Knife                                   
20150321122200,"Blunt Object(club,hammer,etc)           "
20150321153107,"Personal Weapons (hands,feet,teeth,etc.)"
20150321160800,"Personal Weapons (hands,feet,teeth,etc.)"
20150321160800,Knife                                   
20150321161305,"Personal Weapons (hands,feet,teeth,etc.)"
20150321171506,Handgun                                 
20150321172405,Not Applicable/None                     
20150321184501,Not Applicable/None                     
20150321191402,"Personal Weapons (hands,feet,teeth,etc.)"
20150321193101,"Personal Weapons (hands,feet,teeth,etc.)"
20150321203602,"Personal Weapons (hands,feet,teeth,etc.)"
20150321203704,"Personal Weapons (hands,feet,teeth,etc.)"
20150321210001,Handgun                                 
20150321210500,"Personal Weapons (hands,feet,teeth,etc.)"
20150321214801,Knife                                   
20150321215001,"Personal Weapons (hands,feet,teeth,etc.)"
20150321215103,Handgun                                 
20150321220908,Handgun                                 
20150321221400,"Personal Weapons (hands,feet,teeth,etc.)"
20150321222205,"Personal Weapons (hands,feet,teeth,etc.)"
20150321223003,"Personal Weapons (hands,feet,teeth,etc.)"
20150321223003,Handgun                                 
20150321230403,Handgun                                 
20150321232702,"Personal Weapons (hands,feet,teeth,etc.)"
20150321234101,Vehicle                                 
20150321235100,"Personal Weapons (hands,feet,teeth,etc.)"
20150321235800,Knife                                   
20150322000000,Handgun                                 
20150322000602,"Personal Weapons (hands,feet,teeth,etc.)"
20150322005004,"Blunt Object(club,hammer,etc)           "
20150322011700,"Personal Weapons (hands,feet,teeth,etc.)"
20150322012901,"Personal Weapons (hands,feet,teeth,etc.)"
20150322013200,"Personal Weapons (hands,feet,teeth,etc.)"
20150322013401,"Personal Weapons (hands,feet,teeth,etc.)"
20150322013707,Handgun                                 
20150322014303,Handgun                                 
20150322022901,"Personal Weapons (hands,feet,teeth,etc.)"
20150322024201,Handgun                                 
20150322025900,"Personal Weapons (hands,feet,teeth,etc.)"
20150322041600,"Personal Weapons (hands,feet,teeth,etc.)"
20150322053900,Not Applicable/None                     
20150322055900,"Personal Weapons (hands,feet,teeth,etc.)"
20150322065501,"Personal Weapons (hands,feet,teeth,etc.)"
20150322072800,"Personal Weapons (hands,feet,teeth,etc.)"
20150322072800,Not Applicable/None                     
20150322072800,Unknown/Not Stated                      
20150322080504,Handgun                                 
20150322082001,"Personal Weapons (hands,feet,teeth,etc.)"
20150322111201,"Personal Weapons (hands,feet,teeth,etc.)"
20150322113102,"Personal Weapons (hands,feet,teeth,etc.)"
20150322113102,Not Applicable/None                     
20150322120004,"Personal Weapons (hands,feet,teeth,etc.)"
20150322122500,"Personal Weapons (hands,feet,teeth,etc.)"
20150322123100,Knife                                   
20150322132403,"Personal Weapons (hands,feet,teeth,etc.)"
20150322144304,"Personal Weapons (hands,feet,teeth,etc.)"
20150322161803,Knife                                   
20150322161803,"Personal Weapons (hands,feet,teeth,etc.)"
20150322165100,"Personal Weapons (hands,feet,teeth,etc.)"
20150322180403,"Personal Weapons (hands,feet,teeth,etc.)"
20150322184003,Knife                                   
20150322184003,"Personal Weapons (hands,feet,teeth,etc.)"
20150322191407,"Personal Weapons (hands,feet,teeth,etc.)"
20150322194103,"Personal Weapons (hands,feet,teeth,etc.)"
20150322203805,Handgun                                 
20150322211101,"Personal Weapons (hands,feet,teeth,etc.)"
20150322214202,"Personal Weapons (hands,feet,teeth,etc.)"
20150322214600,"Personal Weapons (hands,feet,teeth,etc.)"
20150322223701,Handgun                                 
20150322223702,"Personal Weapons (hands,feet,teeth,etc.)"
20150322230501,"Personal Weapons (hands,feet,teeth,etc.)"
20150322231401,"Personal Weapons (hands,feet,teeth,etc.)"
20150322232403,"Personal Weapons (hands,feet,teeth,etc.)"
20150322235600,Handgun                                 
20150323002303,"Personal Weapons (hands,feet,teeth,etc.)"
20150323005000,"Personal Weapons (hands,feet,teeth,etc.)"
20150323013900,"Personal Weapons (hands,feet,teeth,etc.)"
20150323014400,Handgun                                 
20150323021700,"Personal Weapons (hands,feet,teeth,etc.)"
20150323055800,"Personal Weapons (hands,feet,teeth,etc.)"
20150323074707,Other Weapon                            
20150323080800,"Personal Weapons (hands,feet,teeth,etc.)"
20150323081202,Handgun                                 
20150323090804,Other Weapon                            
20150323091406,"Personal Weapons (hands,feet,teeth,etc.)"
20150323100900,Unknown/Not Stated                      
20150323101807,Not Applicable/None                     
20150323104303,Handgun                                 
20150323110001,Not Applicable/None                     
20150323115002,"Personal Weapons (hands,feet,teeth,etc.)"
20150323115903,"Personal Weapons (hands,feet,teeth,etc.)"
20150323133901,Knife                                   
20150323134204,Handgun                                 
20150323134302,Knife                                   
20150323135302,"Blunt Object(club,hammer,etc)           "
20150323140303,"Personal Weapons (hands,feet,teeth,etc.)"
20150323141301,Other Weapon                            
20150323141605,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20150323150003,Handgun                                 
20150323152003,"Personal Weapons (hands,feet,teeth,etc.)"
20150323154306,"Personal Weapons (hands,feet,teeth,etc.)"
20150323154705,"Personal Weapons (hands,feet,teeth,etc.)"
20150323154907,"Personal Weapons (hands,feet,teeth,etc.)"
20150323160805,"Personal Weapons (hands,feet,teeth,etc.)"
20150323162203,"Personal Weapons (hands,feet,teeth,etc.)"
20150323165801,"Personal Weapons (hands,feet,teeth,etc.)"
20150323170700,Other Weapon                            
20150323185500,Handgun                                 
20150323194405,Handgun                                 
