Complaint_No,Weapon_Type
20150103141503,"Personal Weapons (hands,feet,teeth,etc.)"
20150103152101,Handgun                                 
20150103153402,Handgun                                 
20150103155100,Other Weapon                            
20150103171703,"Personal Weapons (hands,feet,teeth,etc.)"
20150103174202,"Personal Weapons (hands,feet,teeth,etc.)"
20150103203302,"Blunt Object(club,hammer,etc)           "
20150103205103,"Personal Weapons (hands,feet,teeth,etc.)"
20150103223900,"Personal Weapons (hands,feet,teeth,etc.)"
20150103232703,"Personal Weapons (hands,feet,teeth,etc.)"
20150103233704,"Personal Weapons (hands,feet,teeth,etc.)"
20150103234201,Other Weapon                            
20150104000303,Other Weapon                            
20150104001905,Handgun                                 
20150104001905,"Personal Weapons (hands,feet,teeth,etc.)"
20150104004102,Handgun                                 
20150104013101,"Personal Weapons (hands,feet,teeth,etc.)"
20150104013201,"Personal Weapons (hands,feet,teeth,etc.)"
20150104014602,Handgun                                 
20150104015002,Handgun                                 
20150104015802,Handgun                                 
20150104022502,"Personal Weapons (hands,feet,teeth,etc.)"
20150104050700,Handgun                                 
20150104055400,Knife                                   
20150104055401,"Personal Weapons (hands,feet,teeth,etc.)"
20150104055801,Handgun                                 
20150104092003,Knife                                   
20150104113500,"Personal Weapons (hands,feet,teeth,etc.)"
20150104120801,"Personal Weapons (hands,feet,teeth,etc.)"
20150104140901,Handgun                                 
20150104155302,Other Cutting Instrument                
20150104170802,"Personal Weapons (hands,feet,teeth,etc.)"
20150104195500,Handgun                                 
20150104201900,"Personal Weapons (hands,feet,teeth,etc.)"
20150104202004,Knife                                   
20150104211202,Handgun                                 
20150104213302,"Personal Weapons (hands,feet,teeth,etc.)"
20150104213900,Chemicals/Acids                         
20150104214001,"Personal Weapons (hands,feet,teeth,etc.)"
20150104220101,"Personal Weapons (hands,feet,teeth,etc.)"
20150105004204,Handgun                                 
20150105004204,Rifle                                   
20150105014901,"Personal Weapons (hands,feet,teeth,etc.)"
20150105023000,Not Applicable/None                     
20150105023301,"Blunt Object(club,hammer,etc)           "
20150105024403,"Personal Weapons (hands,feet,teeth,etc.)"
20150105030600,"Personal Weapons (hands,feet,teeth,etc.)"
20150105041401,"Personal Weapons (hands,feet,teeth,etc.)"
20150105071000,"Personal Weapons (hands,feet,teeth,etc.)"
20150105103500,"Personal Weapons (hands,feet,teeth,etc.)"
20150105104502,Not Applicable/None                     
20150105105104,"Personal Weapons (hands,feet,teeth,etc.)"
20150105105504,"Personal Weapons (hands,feet,teeth,etc.)"
20150105105601,"Personal Weapons (hands,feet,teeth,etc.)"
20150105112202,"Personal Weapons (hands,feet,teeth,etc.)"
20150105113801,Handgun                                 
20150105115801,"Personal Weapons (hands,feet,teeth,etc.)"
20150105123500,Knife                                   
20150105124102,"Personal Weapons (hands,feet,teeth,etc.)"
20150105133002,"Personal Weapons (hands,feet,teeth,etc.)"
20150105140903,"Personal Weapons (hands,feet,teeth,etc.)"
20150105141604,Unknown/Not Stated                      
20150105150603,"Personal Weapons (hands,feet,teeth,etc.)"
20150105151505,"Personal Weapons (hands,feet,teeth,etc.)"
20150105151505,Handgun                                 
20150105153005,"Personal Weapons (hands,feet,teeth,etc.)"
20150105154603,Handgun                                 
20150105154700,"Personal Weapons (hands,feet,teeth,etc.)"
20150105161403,"Personal Weapons (hands,feet,teeth,etc.)"
20150105161800,Not Applicable/None                     
20150105162703,Handgun                                 
20150105162802,Handgun                                 
20150105173303,"Personal Weapons (hands,feet,teeth,etc.)"
20150105174900,Other Weapon                            
20150105180301,"Personal Weapons (hands,feet,teeth,etc.)"
20150105182303,"Personal Weapons (hands,feet,teeth,etc.)"
20150105182303,Other Weapon                            
20150105190501,"Personal Weapons (hands,feet,teeth,etc.)"
20150105191600,Handgun                                 
20150105194901,"Personal Weapons (hands,feet,teeth,etc.)"
20150105204104,"Personal Weapons (hands,feet,teeth,etc.)"
20150105204703,"Personal Weapons (hands,feet,teeth,etc.)"
20150105205602,"Personal Weapons (hands,feet,teeth,etc.)"
