Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20150108152703,    ,General Motors Corp.                                                  ,                              ,White/White                                                           ,Other - UHAUL                                                         
20150108160604,2002,Toyota                                                                ,SOLARA                        ,Red/Red                                                               ,2-Door                                                                
20150108182002,1995,Nissan                                                                ,QUEST                         ,Beige/Beige                                                           ,4-Door                                                                
20150108200202,2015,Chevrolet                                                             ,IMPALA                        ,Gray/Gray                                                             ,4-Door                                                                
20150108223103,1993,Honda                                                                 ,CIVIC DELSO                   ,Gold/Gold                                                             ,2-Door                                                                
20150109085802,2006,Other - KING COBRA                                                    ,                              ,White/White                                                           ,Other - Trailer                                                       
20150109151005,2014,Dodge                                                                 ,RAM 3500                      ,Silver/Silver                                                         ,Pick-up Truck                                                         
20150109151900,2012,Ford                                                                  ,                              ,Yellow/Yellow                                                         ,2-Door                                                                
20150109183604,1990,Honda                                                                 ,CIIVIC DX                     ,Gold/Gold                                                             ,3-Door Hatchback                                                      
20150109192200,2000,BMW                                                                   ,540I                          ,Black/Black                                                           ,4-Door                                                                
20150109232005,2004,Honda                                                                 ,ACCORD                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20150110000703,2002,Honda                                                                 ,ACCORD                        ,Blue/Blue                                                             ,4-Door                                                                
20150110001005,2005,Chrysler                                                              ,PT-CRUISER                    ,Cream/Cream                                                           ,4-Door                                                                
20150110083703,2004,Kia Motors                                                            ,OPTIMA LX/SE                  ,Tan/Tan                                                               ,4-Door                                                                
20150110120601,2015,Mitsubishi                                                            ,LANCER                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20150110123902,2003,Nissan                                                                ,MAXIMA GLE                    ,Gold/Gold                                                             ,4-Door                                                                
20150110191601,2012,Toyota                                                                ,PRIUS                         ,White/White                                                           ,4-Door                                                                
20150110194500,2007,Yamaha                                                                ,FX-1100 CRUISER               ,Black/Black                                                           ,Other - Jet Ski                                                       
20150110202901,1997,Acura                                                                 ,TL 3.2                        ,Tan/Tan                                                               ,4-Door                                                                
20150111064902,1995,Ford                                                                  ,F350                          ,Red/Red                                                               ,Other - car hauler                                                    
20150111064902,1983,Chevrolet                                                             ,                              ,Yellow/Yellow                                                         ,Pick-up Truck                                                         
20150111075801,2004,Buick                                                                 ,CENTURY                       ,White/White                                                           ,4-Door                                                                
20150111121502,2005,Chrysler                                                              ,PT CRUISER                    ,White/White                                                           ,Van                                                                   
20150111122705,2003,Cadillac                                                              ,CTS                           ,Silver/Silver                                                         ,4-Door                                                                
20150111151501,2004,Chevrolet                                                             ,SILVERADO                     ,Gray/Gray                                                             ,Pick-up Truck                                                         
20150111170402,1999,Acura                                                                 ,INTEGRA                       ,Gray/Gray                                                             ,2-Door                                                                
20150112014302,1999,Honda                                                                 ,CIVIC                         ,Silver/Silver                                                         ,2-Door                                                                
20150112015002,2003,Chevrolet                                                             ,TAHOE                         ,Red/Red                                                               ,Sport Utility Vehicle                                                 
20150112021902,2006,Other - Maserati                                                      ,QUATTROPORTE                  ,Burgundy/Burgundy                                                     ,4-Door                                                                
20150112080101,2001,Dodge                                                                 ,CARAVAN                       ,Green/Green                                                           ,Van                                                                   
20150112081501,2005,BMW                                                                   ,X3                            ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20150112081501,2003,BMW                                                                   ,Z4                            ,Silver/Silver                                                         ,2-Door                                                                
20150112143302,2007,Chrysler                                                              ,300,Red/Red                                                               ,4-Door                                                                
20150112190300,2009,Chevrolet                                                             ,IMPALA                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20150113011100,2000,Honda                                                                 ,CIVIC                         ,White/White                                                           ,2-Door                                                                
20150113024601,1988,Honda                                                                 ,CIVIC                         ,Gray/Gray                                                             ,4-Door                                                                
20150113052501,    ,Other - SCOOTER                                                       ,                              ,Black/Silver                                                          ,Moped                                                                 
20150113062000,2014,Honda                                                                 ,CIVIC                         ,Black/Black                                                           ,4-Door                                                                
20150113070403,2002,Acura                                                                 ,3.2TL                         ,White/White                                                           ,4-Door                                                                
20150113090601,1997,Honda                                                                 ,ACCORD                        ,White/White                                                           ,4-Door                                                                
20150113122200,2004,Freightliner Corp                                                     ,CONVENTIONAL                  ,Tan/Tan                                                               ,Semi-Tractor                                                          
20150113161601,2013,Other - CARRY ON                                                      ,                              ,Camouflage/Black                                                      ,Other - UTILITY TRAILER                                               
20150113165000,1997,International Harvester                                               ,9000 SERIES                   ,Unknown/Unknown                                                       ,Semi-Tractor                                                          
20150113165807,1997,Plymouth                                                              ,VOYAGER                       ,White/White                                                           ,Van                                                                   
20150113212102,1996,Cadillac                                                              ,DEVILLE                       ,White/White                                                           ,4-Door                                                                
20150114052200,2009,BMW                                                                   ,328I                          ,Black/Black                                                           ,4-Door                                                                
20150114060900,1997,Honda                                                                 ,ACCORD                        ,Burgundy/                                                             ,4-Door                                                                
20150114072301,1998,Mitsubishi                                                            ,DIAMANTE ES                   ,Black/Black                                                           ,4-Door                                                                
20150114081600,2013,Mazda                                                                 ,3,Silver/Silver                                                         ,4-Door                                                                
20150114105802,2006,Ford                                                                  ,F350                          ,Red/Red                                                               ,Other - Flat Bed                                                      
20150114133203,1997,Dodge                                                                 ,CARAVAN                       ,Unknown/Unknown                                                       ,Van                                                                   
20150114135703,2011,Other - COVER                                                         ,LT                            ,Silver/Silver                                                         ,Other - ENCLOSED UTILITY TRAILER                                      
20150114234902,2011,Toyota                                                                ,CORROLLA                      ,Black/Black                                                           ,4-Door                                                                
20150115075502,2007,Hyundai                                                               ,SONATA                        ,Black/Black                                                           ,4-Door                                                                
20150115082301,2008,Honda                                                                 ,ODESSEY                       ,Blue/Blue                                                             ,Van                                                                   
20150115102702,2000,Isuzu                                                                 ,RPODEO                        ,Black/Black                                                           ,4-Door                                                                
20150115112107,1999,Mercury                                                               ,GRAND MARQUIS                 ,Silver/Silver                                                         ,4-Door                                                                
20150115113501,1996,Ford                                                                  ,LIGHT CONVENTIONAL            ,White/White                                                           ,Other - Flat Bed Truck                                                
20150115143502,2014,Vespa                                                                 ,SE30BC                        ,Black/Black                                                           ,Moped                                                                 
20150115145504,2007,Jeep - 1989 and Newer                                                 ,GRAND CHEROKEE                ,Tan/Tan                                                               ,Sport Utility Vehicle                                                 
20150115162401,2014,Mazda                                                                 ,2,White/White                                                           ,4-Door                                                                
20150115174606,2003,Toyota                                                                ,CAMERY                        ,White/White                                                           ,4-Door                                                                
20150115200103,2003,Cadillac                                                              ,CADILLAC                      ,Gold/Gold                                                             ,Sport Utility Vehicle                                                 
20150116070900,2000,Honda                                                                 ,CIVIC                         ,Black/Black                                                           ,2-Door                                                                
20150116071200,2011,Ford                                                                  ,FOCUS                         ,Gray/Gray                                                             ,4-Door                                                                
20150116072700,1994,Honda                                                                 ,ACCORD                        ,Gold/Gold                                                             ,4-Door                                                                
20150116093506,2008,Chrysler                                                              ,PACIFICA                      ,Silver/Silver                                                         ,Van                                                                   
20150116103402,2008,Mercedes Benz                                                         ,R350                          ,White/White                                                           ,Sport Utility Vehicle                                                 
20150116155004,2003,Mitsubishi                                                            ,LANCER LE                     ,Silver/Silver                                                         ,4-Door                                                                
20150116174202,1998,Buick                                                                 ,CENTURY                       ,Gold/Gold                                                             ,4-Door                                                                
20150116190803,2002,Ford                                                                  ,CROWN VICTORIA                ,White/White                                                           ,4-Door                                                                
20150117024600,2006,Chevrolet                                                             ,IMPALA                        ,Black/Black                                                           ,4-Door                                                                
