Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20130107205001,2005,International Harvester                                               ,9000 SERIES                   ,Yellow/Yellow                                                         ,Semi-Tractor                                                          
20130108074105,2010,Volvo                                                                 ,XC90                          ,Beige/Beige                                                           ,Sport Utility Vehicle                                                 
20130108084701,2011,Mazda                                                                 ,MAZDA 3                       ,Silver/                                                               ,4-Door                                                                
20130108092500,1999,Unknown                                                               ,MOPED                         ,Gray/Gray                                                             ,Moped                                                                 
20130108092801,1992,Ford                                                                  ,RANGER                        ,White/White                                                           ,Pick-up Truck                                                         
20130108100402,1996,Acura                                                                 ,INTEGRA                       ,Silver/Silver                                                         ,2-Door                                                                
20130108111304,1998,Dodge                                                                 ,RAM                           ,Burgundy/Burgundy                                                     ,Van                                                                   
20130108144303,2012,Nissan                                                                ,VERSA                         ,Black/                                                                ,4-Door                                                                
20130108161101,2013,Dodge                                                                 ,CARAVAN                       ,Blue/Blue                                                             ,Van                                                                   
20130108192300,1993,Mercury                                                               ,GRAND MARQUIS                 ,Green/Green                                                           ,4-Door                                                                
20130109043000,1969,Oldsmobile                                                            ,CUTLASS                       ,Burgundy/Burgundy                                                     ,2-Door                                                                
20130109122103,1999,Suzuki                                                                ,GSX-R600                      ,Yellow/Black                                                          ,Motorcycle                                                            
20130109125403,1997,Buick                                                                 ,SKYLARK                       ,Blue/Blue                                                             ,4-Door                                                                
20130109171403,2005,Suzuki                                                                ,GSXR600K                      ,"Blue, Dark/Blue, Dark                                                 ",Motorcycle                                                            
20130109182300,2011,Freightliner Corp                                                     ,CASCADI                       ,White/White                                                           ,Semi-Tractor                                                          
20130109192602,2004,Ford                                                                  ,FOCUS SE                      ,Gray/Gray                                                             ,4-Door                                                                
20130110061200,1997,Nissan                                                                ,PATHFINDER                    ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20130110074301,2009,Dodge                                                                 ,CHARGER                       ,Red/Red                                                               ,4-Door                                                                
20130110083401,2000,Dodge                                                                 ,NEON                          ,Red/Red                                                               ,4-Door                                                                
20130110091300,2000,Mercury                                                               ,SABLE                         ,Burgundy/Burgundy                                                     ,4-Door                                                                
20130110095200,2006,Ford                                                                  ,ECONOLINE                     ,White/White                                                           ,Van                                                                   
20130110143703,1999,Dodge                                                                 ,RAM 3500                      ,White/White                                                           ,Pick-up Truck                                                         
20130110161007,2002,Ford                                                                  ,TAURUS                        ,Gold/Gold                                                             ,4-Door                                                                
20130110203001,2007,Toyota                                                                ,CAMRY                         ,Black/Black                                                           ,4-Door                                                                
20130110221100,1996,Honda                                                                 ,ACCORD                        ,Green/Green                                                           ,4-Door                                                                
20130110234603,2002,Honda                                                                 ,CIVIC                         ,Silver/Silver                                                         ,2-Door                                                                
20130111002400,2000,Honda                                                                 ,CIVIC                         ,White/White                                                           ,Unknown                                                               
20130111115505,2012,Unknown                                                               ,                              ,Black/Black                                                           ,Moped                                                                 
20130111123200,1997,Dodge                                                                 ,CARAVAN                       ,Beige/Beige                                                           ,Van                                                                   
20130111140303,2005,Lexus                                                                 ,ES330                         ,Silver/Silver                                                         ,4-Door                                                                
20130111165402,1999,Honda                                                                 ,CIVIC                         ,Silver/Silver                                                         ,4-Door                                                                
20130111180103,2003,Toyota                                                                ,SEQUOIA                       ,Green/Green                                                           ,4-Door                                                                
20130111204601,    ,Kawasaki                                                              ,MINI BIKE                     ,Blue/Blue                                                             ,Motorcycle                                                            
20130111205101,2013,Chevrolet                                                             ,CRUZ                          ,Black/Black                                                           ,4-Door                                                                
20130112034500,1992,Acura                                                                 ,VIGOR                         ,White/White                                                           ,4-Door                                                                
20130112045900,1986,Ford                                                                  ,F100                          ,Beige/Beige                                                           ,Pick-up Truck                                                         
