Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20160103024800,1997,Ford                                                                  ,CROWN VICTORIA                ,Gray/Black                                                            ,4-Door                                                                
20160103203700,1998,Nissan                                                                ,ALTIMA                        ,White/White                                                           ,4-Door                                                                
20160104000600,2007,Jeep - 1989 and Newer                                                 ,COMMANDER                     ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20160104015100,2015,Hyundai                                                               ,SONATA                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20160104083402,1994,Acura                                                                 ,INTEGRA                       ,Purple/Purple                                                         ,4-Door                                                                
20160104090200,2003,Mitsubishi                                                            ,GALANT                        ,Gray/Gray                                                             ,4-Door                                                                
20160104094801,2007,Jeep - 1989 and Newer                                                 ,LIBERTY                       ,Tan/Tan                                                               ,Sport Utility Vehicle                                                 
20160104134001,2008,Chrysler                                                              ,PT CRUISER                    ,Black/Black                                                           ,4-Door                                                                
20160104202100,2010,Toyota                                                                ,COROLLA                       ,Silver/Silver                                                         ,4-Door                                                                
20160105015701,2010,Nissan                                                                ,ALTIMA                        ,Gray/Gray                                                             ,4-Door                                                                
20160105071300,2013,Kawasaki                                                              ,2X-14                         ,Black/Green                                                           ,Motorcycle                                                            
20160105085101,2003,Infiniti                                                              ,G35                           ,Black/Black                                                           ,4-Door                                                                
20160105095900,2000,Ford                                                                  ,EXPOLRER                      ,"Blue, Dark/Blue, Dark                                                 ",Sport Utility Vehicle                                                 
20160105120400,2012,Honda                                                                 ,ACCORD                        ,Silver/Silver                                                         ,4-Door                                                                
20160105135402,2015,Chevrolet                                                             ,CRUZ                          ,Silver/Silver                                                         ,4-Door                                                                
20160105160102,2015,Nissan                                                                ,ALTIMA                        ,Unknown/Unknown                                                       ,4-Door                                                                
20160105175300,2000,Kia Motors                                                            ,SPORTAGE                      ,Black/Black                                                           ,4-Door                                                                
20160105195601,2015,Mitsubishi                                                            ,MIRAGE                        ,Pink/Pink                                                             ,3-Door Hatchback                                                      
20160106062101,2013,Chevrolet                                                             ,CRUZ                          ,Silver/Silver                                                         ,4-Door                                                                
20160106074601,2011,Honda                                                                 ,CIVIC                         ,White/White                                                           ,4-Door                                                                
20160106112701,2006,Dodge                                                                 ,CARAVAN                       ,Silver/Silver                                                         ,Van                                                                   
20160106115901,2000,Mitsubishi                                                            ,FE6                           ,Black/Black                                                           ,Other - box truck                                                     
20160106123700,    ,Kawasaki                                                              ,GSX600F                       ,Blue/Blue                                                             ,Motorcycle                                                            
20160106132000,2014,Hyundai                                                               ,ELANTRA                       ,Black/Black                                                           ,4-Door                                                                
20160106201001,1997,Jeep - 1989 and Newer                                                 ,CHEROKEE                      ,Gray/Black                                                            ,Sport Utility Vehicle                                                 
20160106203000,2009,Saturn - Independent                                                  ,OUTLOOK                       ,White/White                                                           ,Sport Utility Vehicle                                                 
20160107060000,2010,Toyota                                                                ,RAV4                          ,White/White                                                           ,Sport Utility Vehicle                                                 
20160107061001,2007,Toyota                                                                ,CAMRY                         ,Red/Red                                                               ,Unknown                                                               
20160107071202,2004,General Motors Corp.                                                  ,YUKON DENALI                  ,"Green, Dark/Green, Dark                                               ",Sport Utility Vehicle                                                 
20160107072900,1998,Honda                                                                 ,CIVIC                         ,Silver/Silver                                                         ,2-Door                                                                
20160107075002,2015,Kia Motors                                                            ,SOUL                          ,Gray/Gray                                                             ,4-Door                                                                
20160107082104,2015,Other - HUDSON                                                        ,3310,Black/Black                                                           ,Other - TRAILER                                                       
20160107082802,1996,Honda                                                                 ,ACCORD                        ,Tan/Tan                                                               ,4-Door                                                                
20160107095803,1998,Acura                                                                 ,                              ,White/White                                                           ,2-Door                                                                
20160107100301,1998,Honda                                                                 ,CIVIC                         ,White/White                                                           ,2-Door                                                                
20160107164500,2002,BMW                                                                   ,745-I                         ,"Green, Light/Green, Light                                             ",4-Door                                                                
20160107213503,1998,Volvo                                                                 ,S70 GLT                       ,"Blue, Dark/Blue, Dark                                                 ",4-Door                                                                
20160108004200,2013,Hyundai                                                               ,SANTE FE SPORT                ,Brown/Brown                                                           ,2-Door                                                                
20160108061000,1997,Honda                                                                 ,ACCORD                        ,"Green, Light/Green, Light                                             ",4-Door                                                                
20160108073604,2004,Dodge                                                                 ,CARAVAN                       ,Red/Red                                                               ,Van                                                                   
20160108081801,2012,General Motors Corp.                                                  ,                              ,Yellow/Yellow                                                         ,Pick-up Truck                                                         
20160108081901,1999,Honda                                                                 ,CIVIC                         ,Red/Red                                                               ,2-Door                                                                
20160108083101,2016,Volvo                                                                 ,V60                           ,Silver/Silver                                                         ,4-Door                                                                
20160108092300,1996,Honda                                                                 ,ACCORD                        ,Black/Black                                                           ,4-Door                                                                
20160108120402,1999,Toyota                                                                ,CAMRY                         ,Gold/Gold                                                             ,4-Door                                                                
20160108131102,2012,Nissan                                                                ,ALTIMA                        ,White/White                                                           ,4-Door                                                                
20160108165704,2015,Volkswagen                                                            ,PASSAT                        ,White/White                                                           ,4-Door                                                                
20160108183303,    ,Lexus                                                                 ,                              ,Green/Green                                                           ,4-Door                                                                
20160108211903,2008,Ford                                                                  ,EDGE                          ,Black/Black                                                           ,4-Door                                                                
20160108215701,2011,Toyota                                                                ,PRIUS                         ,White/White                                                           ,4-Door                                                                
20160108220301,2001,Chevrolet                                                             ,SURBURBAN                     ,Gray/Gray                                                             ,Sport Utility Vehicle                                                 
20160108222701,2015,Toyota                                                                ,COROLLA                       ,Black/Black                                                           ,4-Door                                                                
20160108223401,2003,Mitsubishi                                                            ,GALLANT                       ,"Blue, Light/Blue, Light                                               ",4-Door                                                                
20160109025700,2008,Ford                                                                  ,TAURUS X                      ,Silver/                                                               ,Station Wagon                                                         
20160109061601,2006,Dodge                                                                 ,CHARGER                       ,Gray/Gray                                                             ,4-Door                                                                
20160109095301,2005,Saturn - G M Div                                                      ,                              ,Gray/Gray                                                             ,4-Door                                                                
20160109104601,2015,Honda                                                                 ,CIVIC                         ,Black/Black                                                           ,4-Door                                                                
20160109170702,2001,Mazda                                                                 ,TRIBUTE                       ,Burgundy/Burgundy                                                     ,Sport Utility Vehicle                                                 
20160109232201,2000,Other - Cargo Mate                                                    ,CARGO TRAILER                 ,White/Silver                                                          ,Other - enclosed trailer                                              
20160110003200,2007,Honda                                                                 ,CIVIC                         ,Red/Red                                                               ,4-Door                                                                
20160110005002,2013,Chevrolet                                                             ,CORVETTE                      ,Silver/Silver                                                         ,2-Door                                                                
20160110011902,2005,Lexus                                                                 ,ES330                         ,Black/Black                                                           ,4-Door                                                                
20160110050701,    ,Buick                                                                 ,                              ,Silver/Silver                                                         ,4-Door                                                                
20160110060700,2002,Toyota                                                                ,SEQUOIA                       ,White/White                                                           ,Sport Utility Vehicle                                                 
20160110061101,2012,Ford                                                                  ,F150                          ,White/White                                                           ,Pick-up Truck                                                         
20160110081600,2011,Dodge                                                                 ,CHALLENGER                    ,Orange/Orange                                                         ,2-Door                                                                
20160110095300,2003,Chrysler                                                              ,TOWN AND COUNTRY              ,Silver/Silver                                                         ,Van                                                                   
20160110101700,2007,Pontiac                                                               ,GRAND PRIX                    ,Red/Red                                                               ,4-Door                                                                
20160110110702,2002,Toyota                                                                ,SIENNA                        ,Silver/Silver                                                         ,Van                                                                   
20160110181504,2003,Toyota                                                                ,TACOMA                        ,Brown/Brown                                                           ,Pick-up Truck                                                         
20160111025700,2011,Chevrolet                                                             ,IMPALA                        ,Gray/Gray                                                             ,4-Door                                                                
20160111070000,    ,Volvo                                                                 ,670,Gold/                                                                 ,Semi-Tractor                                                          
20160111070000,2016,Volvo                                                                 ,786,Black/Black                                                           ,Semi-Tractor                                                          
20160111070000,2016,Volvo                                                                 ,786,"Blue, Light/Blue, Light                                               ",Semi-Tractor                                                          
20160111070000,2016,Volvo                                                                 ,786,White/                                                                ,Semi-Tractor                                                          
20160111070000,2016,Volvo                                                                 ,786,Green/                                                                ,Semi-Tractor                                                          
20160111070000,    ,Volvo                                                                 ,786,"Green, Light/                                                         ",Semi-Tractor                                                          
20160111070103,2007,Toyota                                                                ,CAMRY                         ,Silver/Silver                                                         ,4-Door                                                                
20160111070901,2008,Chevrolet                                                             ,IMPALA                        ,Black/Black                                                           ,4-Door                                                                
20160111101303,2015,Toyota                                                                ,SIENNA                        ,White/White                                                           ,Van                                                                   
20160111105602,2015,Nissan                                                                ,ALTIMA                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20160111113400,2013,Hyundai                                                               ,ELANTRA                       ,Black/Black                                                           ,4-Door                                                                
20160111181400,2015,Suzuki                                                                ,DR- Z70                       ,Yellow/Yellow                                                         ,Recreational Vehicle                                                  
20160111181400,2015,Suzuki                                                                ,RM85                          ,Yellow/Yellow                                                         ,Recreational Vehicle                                                  
20160111181400,2015,Yamaha                                                                ,TTR230                        ,Blue/Blue                                                             ,Recreational Vehicle                                                  
20160111182400,2001,Honda                                                                 ,ACCORD                        ,Black/Black                                                           ,4-Door                                                                
20160111212100,    ,Ford                                                                  ,EXPIDITION                    ,Red/Red                                                               ,Sport Utility Vehicle                                                 
20160111213000,2002,Mercedes Benz                                                         ,S430                          ,Black/Black                                                           ,4-Door                                                                
20160112042000,2002,Ford                                                                  ,ESCAPE                        ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20160112055300,1999,Mercury                                                               ,COUGAR                        ,Tan/Tan                                                               ,2-Door                                                                
20160112081902,2002,Honda                                                                 ,ACCORD                        ,Black/Black                                                           ,4-Door                                                                
20160112092200,2000,General Motors Corp.                                                  ,TRUCK                         ,Blue/Black                                                            ,Pick-up Truck                                                         
20160112095101,2005,LandRover                                                             ,RANGE ROVER                   ,"Blue, Dark/Blue, Dark                                                 ",Sport Utility Vehicle                                                 
20160112120303,2003,Acura                                                                 ,3.2LT                         ,Silver/Silver                                                         ,4-Door                                                                
20160112124902,2015,Ford                                                                  ,FOCUS                         ,Silver/Silver                                                         ,4-Door                                                                
20160112130604,2016,Ford                                                                  ,FUSION                        ,Silver/Silver                                                         ,4-Door                                                                
20160112150401,2015,Toyota                                                                ,SIENNA                        ,Gray/Gray                                                             ,Van                                                                   
20160112185300,2003,Mercury                                                               ,GRAND MARQUIS 4S              ,"Blue, Light/                                                          ",4-Door                                                                
20160112203100,2016,Saturn - Independent                                                  ,L200                          ,Burgundy/Burgundy                                                     ,4-Door                                                                
20160112204000,2003,Dodge                                                                 ,STRATUS                       ,Gold/Gold                                                             ,4-Door                                                                
20160112204000,2003,Dodge                                                                 ,STRATUS                       ,Gold/Gold                                                             ,4-Door                                                                
20160113001902,1992,Buick                                                                 ,PARK AVE                      ,Gray/Gray                                                             ,4-Door                                                                
20160113035100,2005,Buick                                                                 ,CENTURY                       ,Silver/Silver                                                         ,4-Door                                                                
20160113081801,2015,Nissan                                                                ,ALTIMA                        ,Gray/Gray                                                             ,4-Door                                                                
20160113084901,2011,Ford                                                                  ,FUSION                        ,Silver/Silver                                                         ,4-Door                                                                
20160113100406,2015,Hyundai                                                               ,SANTA FE                      ,Blue/Blue                                                             ,Sport Utility Vehicle                                                 
20160113201701,2011,Toyota                                                                ,AVALON                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20160113204300,2004,Toyota                                                                ,TACOMA                        ,White/White                                                           ,Pick-up Truck                                                         
20160113220402,2015,Nissan                                                                ,NOTE                          ,Red/Red                                                               ,4-Door                                                                
20160113222201,2012,Kia Motors                                                            ,OPTIMA LX                     ,White/White                                                           ,4-Door                                                                
20160114025400,2011,Toyota                                                                ,CAMRY                         ,Black/Black                                                           ,4-Door                                                                
20160114081601,2002,Toyota                                                                ,CAMRY                         ,Gold/Gold                                                             ,4-Door                                                                
20160114091005,1996,Jeep - 1989 and Newer                                                 ,CHEROKEE                      ,Blue/Blue                                                             ,Sport Utility Vehicle                                                 
20160114100105,2002,Ford                                                                  ,F250                          ,Unknown/Unknown                                                       ,Pick-up Truck                                                         
20160114131002,1996,Honda                                                                 ,ACCORD                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20160114144404,2015,Nissan                                                                ,ALTIMA                        ,White/White                                                           ,4-Door                                                                
20160114170700,2015,Buick                                                                 ,ENCORE                        ,Blue/Blue                                                             ,Sport Utility Vehicle                                                 
20160115000405,2014,Nissan                                                                ,MAXIMA                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20160115005302,2014,Other - Tao-Tao                                                       ,                              ,Red/Black                                                             ,Moped                                                                 
20160115100302,2005,Ford                                                                  ,FOCUS                         ,Gray/Gray                                                             ,4-Door                                                                
20160115105001,2005,Chrysler                                                              ,300,Brown/Brown                                                           ,4-Door                                                                
20160115115201,2006,Cadillac                                                              ,DTS                           ,Cream/Gold                                                            ,4-Door                                                                
20160115120300,2000,Honda                                                                 ,ODYSSEY                       ,White/White                                                           ,Van                                                                   
20160115140801,2015,General Motors Corp.                                                  ,SIERRA                        ,White/White                                                           ,Pick-up Truck                                                         
20160115172901,2008,Suzuki                                                                ,XL-7                          ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20160115182903,1994,Lincoln                                                               ,TOWN CAR                      ,Burgundy/Burgundy                                                     ,4-Door                                                                
20160115193502,2003,Dodge                                                                 ,                              ,Tan/Tan                                                               ,Unknown                                                               
20160115194200,2009,Toyota                                                                ,                              ,Gray/Gray                                                             ,4-Door                                                                
20160115204001,2003,Ford                                                                  ,F150                          ,White/White                                                           ,Pick-up Truck                                                         
20160115221501,2015,Dodge                                                                 ,CHARGER                       ,White/                                                                ,4-Door                                                                
20160116034701,2012,Toyota                                                                ,                              ,Green/Green                                                           ,Unknown                                                               
20160116081102,1999,Ford                                                                  ,ECONOLINE VAN                 ,"Blue, Dark/Blue, Dark                                                 ",Van                                                                   
20160116102200,2008,Mazda                                                                 ,TRIBUTE                       ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20160116102800,2015,Chevrolet                                                             ,EQUINOX                       ,Gray/Gray                                                             ,Sport Utility Vehicle                                                 
20160116122802,2005,Toyota                                                                ,COROLLA                       ,Red/Red                                                               ,4-Door                                                                
20160116125501,2015,Mazda                                                                 ,6 TOURING                     ,Gray/Gray                                                             ,4-Door                                                                
20160116144400,    ,Ford                                                                  ,SRW SUPER DUTY  TK            ,White/White                                                           ,2-Door                                                                
20160116152904,2012,Audi                                                                  ,A6                            ,Silver/Silver                                                         ,4-Door                                                                
20160116171000,1996,Buick                                                                 ,LESABRE CUSTOM                ,Unknown/Unknown                                                       ,4-Door                                                                
20160116172200,1998,Toyota                                                                ,COROLLA                       ,Purple/Purple                                                         ,4-Door                                                                
20160116212300,2001,Honda                                                                 ,ACCORD                        ,Gold/Gold                                                             ,4-Door                                                                
20160116213201,2001,Honda                                                                 ,CIVIC                         ,Black/                                                                ,4-Door                                                                
20160116225103,2004,Cadillac                                                              ,CTS                           ,Black/Black                                                           ,4-Door                                                                
20160117012501,2006,General Motors Corp.                                                  ,YUKON XL K1500 DENAL          ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20160117023402,2015,Dodge                                                                 ,CHARGER                       ,White/White                                                           ,4-Door                                                                
20160117040402,2012,Honda                                                                 ,ACCORD                        ,White/White                                                           ,4-Door                                                                
20160117064400,2006,Toyota                                                                ,AVALON                        ,Unknown/Unknown                                                       ,4-Door                                                                
20160117070500,2005,Honda                                                                 ,ODYSSEY                       ,Gray/Gray                                                             ,Van                                                                   
20160117092600,2012,Volkswagen                                                            ,PASSAT                        ,Black/Black                                                           ,4-Door                                                                
20160117095101,2004,Freightliner Corp                                                     ,BOX TRUCK                     ,White/White                                                           ,Other - box truck                                                     
20160117095101,2007,Freightliner Corp                                                     ,BOX TRUCK                     ,Yellow/Yellow                                                         ,Other - 24' box truck                                                 
