Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20160101000006,2006,Hyundai                                                               ,TUSCON                        ,Red/Red                                                               ,Sport Utility Vehicle                                                 
20160101020804,2000,Honda                                                                 ,CR-V                          ,"Green, Dark/Green, Dark                                               ",Sport Utility Vehicle                                                 
20160101022002,2010,Ford                                                                  ,CROWN VICTORIA                ,White/White                                                           ,4-Door                                                                
20160101044501,1997,Honda                                                                 ,ACCORD                        ,White/White                                                           ,4-Door                                                                
20160101075200,1998,Buick                                                                 ,REGAL                         ,Green/Green                                                           ,4-Door                                                                
20160101082401,2015,Jeep - 1989 and Newer                                                 ,GRAND CHEROKEE                ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20160101122700,1992,Saturn - Independent                                                  ,                              ,Unknown/Unknown                                                       ,4-Door                                                                
20160101130801,2008,Dodge                                                                 ,CHARGER RT                    ,Black/Black                                                           ,Unknown                                                               
20160101152501,2009,Ford                                                                  ,ECONOLINE                     ,White/White                                                           ,Van                                                                   
20160101231400,2002,Honda                                                                 ,ACCORD                        ,Red/Red                                                               ,4-Door                                                                
20160102072202,2002,Subaru                                                                ,LEGACY OUTBACK                ,Green/Green                                                           ,Station Wagon                                                         
20160102082300,2001,Chevrolet                                                             ,SUBURBAN                      ,Gold/Gold                                                             ,Sport Utility Vehicle                                                 
20160102082300,2012,Other - SGAC                                                          ,                              ,Black/Silver                                                          ,"Other - Two-axle, enclosed trailer                                    "
20160102115700,2006,General Motors Corp.                                                  ,SIERRA                        ,White/White                                                           ,Pick-up Truck                                                         
20160102142000,2007,Infiniti                                                              ,G35                           ,Black/Black                                                           ,4-Door                                                                
20160102162402,2003,Honda                                                                 ,ACCORD                        ,Gold/Gold                                                             ,4-Door                                                                
20160102191804,2006,Nissan                                                                ,TITAN                         ,Beige/Beige                                                           ,Pick-up Truck                                                         
20160102215100,2006,Honda                                                                 ,ACCORD                        ,Gray/Gray                                                             ,4-Door                                                                
20160102222803,2004,Lexus                                                                 ,LS400                         ,White/White                                                           ,4-Door                                                                
20160103023301,2004,Lexus                                                                 ,RX330                         ,Black/Black                                                           ,Sport Utility Vehicle                                                 
